"FullName","Length"
"C:\Program Files (x86)\Steam\steamapps\common\Borderlands 2\WillowGame\CookedPCConsole\Audio_Streaming.pck","252055681"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCC\Audio\Packed\Windows\Packs\Spanish(Spain)\CombinedStreaming_DLCC_LOC.pck","252415247"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ff152_vortex.map","253112320"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\subgames\CampaignS1\deploy\pc\levels\campaign\ring01\dungeons\dungeon_boss_hq_interior\dungeon_boss_hq_interior-rtx-new.module","253173760"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\MCC\Content\Movies\Halo CE Anniversary.bk2","253837472"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCC\Audio\Packed\Windows\Packs\English(US)\CombinedStreaming_DLCC_LOC.pck","254273878"
"C:\Program Files (x86)\Steam\steamapps\downloading\292030\content\content1\bundles\world_kaer_morhen_runtime.bundle","254310928"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCC\Audio\Packed\Windows\Packs\Italian\CombinedStreaming_DLCC_LOC.pck","254315622"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ff81_courtyard.map","254410752"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\DLC\DLCC\Audio\Packed\Windows\Packs\German\CombinedStreaming_DLCC_LOC.pck","254575573"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\terminals\Halo_Groundhog_EP12.bk2","255521784"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo3odst\maps\sc120.map","256344064"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\prebuild\video\Ep001_OneSizeFitsAll.bk2","256702188"
"C:\Program Files (x86)\Steam\steamapps\common\PUBG\TslGame\Content\Paks\pakchunk6000-WindowsNoEditor_assets_world.pak","257660801"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\subgames\CampaignS1\Sound\win\SFX\sb_120_mus_dung_cortana_palace.pck","257710706"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Infinite\XGame\Content\Audio\Packed\Windows\Packs\English(US)\CombinedStreaming_English(US).pck","257741173"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ff151_mezzanine.map","257896448"
"C:\Program Files (x86)\Steam\steamapps\common\The Witcher 3\content\content1\bundles\world_kaer_morhen_runtime.bundle","258335408"
"C:\Program Files (x86)\Steam\steamapps\common\PUBG\TslGame\Content\Paks\pakchunk5200-WindowsNoEditor_assets_textures_buildings.pak","258627147"
